id,filename,sources_id,info_id,last_updated,valid_from,valid_until
s_tshwn5,gauteng-tshwane-group-5,48,49,2022-09-30 12:41:10,2022-09-19 16:34:31,
s_tshwn6,gauteng-tshwane-group-6,48,49,2022-09-30 12:41:10,2022-09-19 16:34:31,
s_tshwn7,gauteng-tshwane-group-7,48,49,2022-09-30 12:41:10,2022-09-19 16:34:31,
s_tshwn8,gauteng-tshwane-group-8,48,49,2022-09-30 12:41:10,2022-09-19 16:34:31,
s_tshwn9,gauteng-tshwane-group-9,48,49,2022-09-30 12:41:10,2022-09-19 16:34:31,
s_kznbllt,kwazulu-natal-ballito,50,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_kzndnd,kwazulu-natal-dundee,50,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_kznshw,kwazulu-natal-eshowe,50,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_kznfltw,kwazulu-natal-fleetwood,50,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_kznglnc,kwazulu-natal-glencoe,50,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_kzngryt,kwazulu-natal-greytown,50,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_kznhrdn,kwazulu-natal-harding,50,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_kznhwck,kwazulu-natal-howick,50,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_kznkdst,kwazulu-natal-kodstad,50,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_kznmndn,kwazulu-natal-mandeni,50,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_kznmpfn,kwazulu-natal-mpofana,50,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_kznmpmp,kwazulu-natal-mpomphomeni,50,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_kznmthn,kwazulu-natal-mthonjaneni,50,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_kznnwcs,kwazulu-natal-newcastle,50,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_kznnrth,kwazulu-natal-northern,50,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
s_kznnqth,kwazulu-natal-nquthu,50,42,2022-09-30 12:41:10,2022-09-18 23:56:52,
