day_of_cycle ,period_of_cycle ,start_of_cycle ,start_time ,finsh_time ,stage
          11 ,             19 ,2023-09-15     ,00:00      ,02:30      ,    8
          11 ,             19 ,2023-09-15     ,10:00      ,12:30      ,    1
          11 ,             19 ,2023-09-15     ,10:00      ,12:30      ,    2
          11 ,             19 ,2023-09-15     ,10:00      ,12:30      ,    3
          11 ,             19 ,2023-09-15     ,10:00      ,12:30      ,    4
          11 ,             19 ,2023-09-15     ,10:00      ,12:30      ,    5
          11 ,             19 ,2023-09-15     ,10:00      ,12:30      ,    6
          11 ,             19 ,2023-09-15     ,10:00      ,12:30      ,    7
          11 ,             19 ,2023-09-15     ,10:00      ,12:30      ,    8
          11 ,             19 ,2023-09-15     ,18:00      ,20:30      ,    4
          11 ,             19 ,2023-09-15     ,18:00      ,20:30      ,    5
          11 ,             19 ,2023-09-15     ,18:00      ,20:30      ,    6
          11 ,             19 ,2023-09-15     ,18:00      ,20:30      ,    7
          11 ,             19 ,2023-09-15     ,18:00      ,20:30      ,    8
          12 ,             19 ,2023-09-15     ,04:00      ,06:30      ,    3
          12 ,             19 ,2023-09-15     ,04:00      ,06:30      ,    4
          12 ,             19 ,2023-09-15     ,04:00      ,06:30      ,    5
          12 ,             19 ,2023-09-15     ,04:00      ,06:30      ,    6
          12 ,             19 ,2023-09-15     ,04:00      ,06:30      ,    7
          12 ,             19 ,2023-09-15     ,04:00      ,06:30      ,    8
          12 ,             19 ,2023-09-15     ,14:00      ,16:30      ,    2
          12 ,             19 ,2023-09-15     ,14:00      ,16:30      ,    3
          12 ,             19 ,2023-09-15     ,14:00      ,16:30      ,    4
          12 ,             19 ,2023-09-15     ,14:00      ,16:30      ,    5
          12 ,             19 ,2023-09-15     ,14:00      ,16:30      ,    6
          12 ,             19 ,2023-09-15     ,14:00      ,16:30      ,    7
          12 ,             19 ,2023-09-15     ,14:00      ,16:30      ,    8
          13 ,             19 ,2023-09-15     ,00:00      ,02:30      ,    1
          13 ,             19 ,2023-09-15     ,00:00      ,02:30      ,    2
          13 ,             19 ,2023-09-15     ,00:00      ,02:30      ,    3
          13 ,             19 ,2023-09-15     ,00:00      ,02:30      ,    4
          13 ,             19 ,2023-09-15     ,00:00      ,02:30      ,    5
          13 ,             19 ,2023-09-15     ,00:00      ,02:30      ,    6
          13 ,             19 ,2023-09-15     ,00:00      ,02:30      ,    7
          13 ,             19 ,2023-09-15     ,00:00      ,02:30      ,    8
          13 ,             19 ,2023-09-15     ,08:00      ,10:30      ,    4
          13 ,             19 ,2023-09-15     ,08:00      ,10:30      ,    5
          13 ,             19 ,2023-09-15     ,08:00      ,10:30      ,    6
          13 ,             19 ,2023-09-15     ,08:00      ,10:30      ,    7
          13 ,             19 ,2023-09-15     ,08:00      ,10:30      ,    8
          13 ,             19 ,2023-09-15     ,18:00      ,20:30      ,    3
          13 ,             19 ,2023-09-15     ,18:00      ,20:30      ,    4
          13 ,             19 ,2023-09-15     ,18:00      ,20:30      ,    5
          13 ,             19 ,2023-09-15     ,18:00      ,20:30      ,    6
          13 ,             19 ,2023-09-15     ,18:00      ,20:30      ,    7
          13 ,             19 ,2023-09-15     ,18:00      ,20:30      ,    8
          14 ,             19 ,2023-09-15     ,04:00      ,06:30      ,    2
          14 ,             19 ,2023-09-15     ,04:00      ,06:30      ,    3
